IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
168.138.211.188,2053,2053,true,HKG,Asia Pacific,Hong Kong,250,1.79
138.2.31.68,2053,2053,true,HKG,Asia Pacific,Hong Kong,245,1.78
8.218.3.12,2082,2082,false,HKG,Asia Pacific,Hong Kong,18,1.66
132.145.121.242,80,80,false,HKG,Asia Pacific,Hong Kong,234,1.56
45.205.3.100,54236,443,true,HKG,Asia Pacific,Hong Kong,190,1.45
202.81.231.150,80,80,false,HKG,Asia Pacific,Hong Kong,84,1.31
8.217.159.210,2082,2082,false,HKG,Asia Pacific,Hong Kong,29,1.31
47.76.178.146,2096,2096,true,HKG,Asia Pacific,Hong Kong,23,1.31
103.70.59.32,443,443,true,HKG,Asia Pacific,Hong Kong,23,1.11
138.2.31.68,2087,2087,true,HKG,Asia Pacific,Hong Kong,240,1.06
18.162.40.255,443,443,true,HKG,Asia Pacific,Hong Kong,102,0.91
43.249.248.19,443,443,true,HKG,Asia Pacific,Hong Kong,227,0.86
202.81.231.150,443,443,true,HKG,Asia Pacific,Hong Kong,82,0.84
168.138.196.164,2086,2086,false,HKG,Asia Pacific,Hong Kong,249,0.74
202.81.232.199,10023,443,true,HKG,Asia Pacific,Hong Kong,68,0.66
202.81.232.199,53249,443,true,HKG,Asia Pacific,Hong Kong,67,0.64
43.128.26.74,443,443,true,HKG,Asia Pacific,Hong Kong,20,0.63
193.134.209.54,34237,2096,true,HKG,Asia Pacific,Hong Kong,76,0.62
8.218.188.129,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,0.56
193.134.210.189,34237,2096,true,HKG,Asia Pacific,Hong Kong,71,0.32
60.246.180.236,32544,443,true,HKG,Asia Pacific,Hong Kong,216,0.31
45.145.228.82,19981,443,true,HKG,Asia Pacific,Hong Kong,97,0.26
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,16,0.13
152.32.130.150,806,443,true,HKG,Asia Pacific,Hong Kong,16,0.12
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,16,0.12
216.250.97.155,443,443,true,HKG,Asia Pacific,Hong Kong,177,0.12
38.181.35.164,37459,443,true,HKG,Asia Pacific,Hong Kong,21,0.08
47.76.178.146,2052,2052,false,HKG,Asia Pacific,Hong Kong,21,0.00
8.218.3.12,2087,2087,true,HKG,Asia Pacific,Hong Kong,20,0.00
8.217.159.210,2083,2083,true,HKG,Asia Pacific,Hong Kong,18,0.00
